id,company_id,lang,name,description,address
1,1,en,Technovation MN,"Leading technology and innovation company in Mongolia","Suite 502, IT Park Building, Seoul Street, Ulaanbaatar"
2,1,mn,Техновэйшн ХХК,"Монгол дахь технологи болон инновацийн тэргүүлэгч компани","Улаанбаатар, Сөүлийн гудамж, IT Park барилга, 502 тоот"
3,2,en,Gobi Cashmere,"Premium cashmere clothing manufacturer and retailer","Industrial Street 3, Khan-Uul District, Ulaanbaatar"
4,2,mn,Говь ХК,"Үнэт ноолууран хувцас үйлдвэрлэгч болон жижиглэн худалдаачин","Улаанбаатар, Хан-Уул дүүрэг, Үйлдвэрийн гудамж 3"
5,3,en,MCS Group,"Diversified conglomerate with operations in multiple industries","Sambuu Street 24, Chingeltei District, Ulaanbaatar"
6,3,mn,МСС Групп,"Олон салбарт үйл ажиллагаа явуулдаг томоохон конгломерат","Улаанбаатар, Чингэлтэй дүүрэг, Самбуугийн гудамж 24"
7,4,en,Monos Pharma,"Leading pharmaceutical company in Mongolia","Peace Avenue 12, Bayanzurkh District, Ulaanbaatar"
8,4,mn,Монос Фарм,"Монгол дахь тэргүүлэх эм зүйн компани","Улаанбаатар, Баянзүрх дүүрэг, Энхтайваны өргөн чөлөө 12"
9,5,en,Bank of Mongolia,"The central bank of Mongolia","Baga Toiruu 3, Ulaanbaatar"
10,5,mn,Монголбанк,"Монгол Улсын төв банк","Улаанбаатар, Бага тойруу 3"
11,6,en,Mongolian Mining Corporation,"Leading coal mining company in Mongolia","Chinggis Avenue 15, Sukhbaatar District, Ulaanbaatar"
12,6,mn,Монголиан Майнинг Корпорэйшн,"Монгол улс дахь тэргүүлэх нүүрс олборлох компани","Улаанбаатар, Сүхбаатар дүүрэг, Чингисийн өргөн чөлөө 15"
13,7,en,Newmed,"Private healthcare provider with modern facilities","Olympic Street 19, Khan-Uul District, Ulaanbaatar"
14,7,mn,Ньюмед,"Орчин үеийн тоног төхөөрөмжтэй хувийн эрүүл мэндийн үйлчилгээ үзүүлэгч","Улаанбаатар, Хан-Уул дүүрэг, Олимпийн гудамж 19"
15,8,en,Unitel,"Mobile telecommunications operator","Sukhbaatar Square 2, Sukhbaatar District, Ulaanbaatar"
16,8,mn,Юнител,"Мобайл харилцаа холбооны оператор","Улаанбаатар, Сүхбаатар дүүрэг, Сүхбаатарын талбай 2"
17,9,en,Ard Financial Group,"Financial services and investment company","Baga Toiruu 29, Sukhbaatar District, Ulaanbaatar"
18,9,mn,Ард Санхүүгийн Нэгдэл,"Санхүүгийн үйлчилгээ болон хөрөнгө оруулалтын компани","Улаанбаатар, Сүхбаатар дүүрэг, Бага тойруу 29"
19,10,en,Nomadic Concepts,"Creative agency specializing in digital marketing and design","Seoul Street 17, Sukhbaatar District, Ulaanbaatar"
20,10,mn,Номадик Концептс,"Дижитал маркетинг болон дизайнд мэргэшсэн креатив агентлаг","Улаанбаатар, Сүхбаатар дүүрэг, Сөүлийн гудамж 17"
